Experimenter,Design,Experiment,Condition,Correct,Subject #,Gender,Video Name,Days.Old,Age.Years,Age.Months,Condition,Trial A Verb,Trial A Condition,Trial A First Puppet,Trial A First Side (self!),Trial A First Sentence,Trial A Second Puppet,Trial A Second Side (self!),Trial A Second Sentence,Kid Response A (Striped/Dots),Kid Response A - Prag Choice?,Trial B Verb,Trial B Condition,Trial B First Puppet,Trial B First Side (self!),Trial B First Sentence,Trial B Second Puppet,Trial B Second Side (self!),Trial B Second Sentence,Kid Response B (Striped/Dots),Kid Response B - Prag Choice?,Trial C Verb,Trial C Condition,Trial C First Puppet,Trial C First Side (self!),Trial C First Sentence,Trial C Second Puppet,Trial C Second Side (self!),Trial C Second Sentence,Kid Response C (Striped/Dots),Kid Response C - Prag Choice?,Trial D Verb,Trial D Condition,Trial D First Puppet,Trial D First Side (self!),Trial D First Sentence,Trial D Second Puppet,Trial D Second Side (self!),Trial D Second Sentence,Kid Response D (Striped/Dots),Kid Response D - Prag Choice?,Notes,Feedback on trial 1? (Immediately after point),Include subject - ORIG,ReasonORIG,,CheckParadigm - NameItems,CheckParadigm - PuppetsLook,Notes,Muppet intro?,Final.Include,Final.Reason
Jenny,Between-2trials,ParentSecret,SD,0,68,F,subject_drop_071214_01.mpg,1175,3,2,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,Ok!,1,,,,no,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,0,69,M,subject_drop_071214_02.mpg,1522,4,2,OD,Eat ,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Awesome.,1,,,,no,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,,70,F,subject_drop_071214_03.mpg,1494,4,1,SD,NA,SD,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,Left halfway through the task. Didn't make any selections. ,,0,FUSSOUT,,,,,,0,FUSSOUT
Jenny,Between-2trials,ParentSecret,SD,1,71,F,subject_drop_071214_03.mpg,2396,6,6,SD,Eat ,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,Ok.,1,,,,no,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,2,72,F,subject_drop_071214_05.mpg,1948,5,4,OD,Eat ,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,This one? Ok.,1,,,,no,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,2,73,M,subject_drop_081314_01.mpg,2266,6,2,SD,Eat ,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Ok!,1,,,1x,no,,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,0,74,F,subject_drop_081314_02.mpg,2133,5,10,OD,Eat ,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Ok. Let's show your dad.,1,,,1x,no,what do we have here?',y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,2,75,M,subject_drop_081314_03.mpg,2507,6,10,SD,Eat ,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Ok!,1,,,1x,no,"fast - nb, on this day puppets are sititng right by the flap, not always true?",y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,2,76,F,subject_drop_081314_04.mpg,2308,6,3,OD,Eat ,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,Speaks Spanish at home. Brother and cousin sat in with her but didn't offer help.,Ok! Let's show them what happened.,0,BILINGUAL,,,,,,0,BILINGUAL
Jenny,Between-2trials,ParentSecret,SD,2,77,F,subject_drop_081314_05.mpg,2205,6,0,SD,Eat ,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,Was very unsure about what to do on the 1st trial. ,Ok.,1,,,1x,no,,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,2,78,F,subject_drop_081414_01.mpg,2313,6,4,OD,Eat ,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,Ok.,1,,,1x,no,ditto muppet position,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,2,79,M,subject_drop_081414_02.mpg,2407,6,7,SD,Eat ,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Ok!,1,,,1x,no,,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,2,80,M,subject_drop_081914_01.mpg,2146,5,10,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,Jenny Start Here Didn't get it on the first trial. Had to go through the secret scene and what the muppets said again.,Ok. Great. Let's show your mom.,1,,,1x,no,,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,0,81,M,subject_drop_081914_02.mpg,2406,6,7,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,Ok. That one?,1,,,1x,no,,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,0,82,F,subject_drop_081914_03.mpg,2406,6,7,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,unsure pointing on first trial. ,Ok. Let's show your mom what happened.,1,,,1x,no,,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,2,83,F,subject_drop_081914_04.mpg,2190,5,11,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,Speaks some Korean at home.,That one? Ok. ,0,BILINGUAL,,,,,,0,BILINGUAL
Jenny,Between-2trials,ParentSecret,OD,na,84,F,subject_drop_081914_05.mpg,na,na,na,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,PERMISSION SLIP SIGNED BY FRIEND'S MOM.,Ok. Let's show them what happened.,0,NO CONSENT,,,,,,0,NO CONSENT
Jenny,Between-2trials,ParentSecret,SD,,85,M,subject_drop_081914_06.mpg,1845,5,0,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Ok. Let's show your mom what happened.,1,,,1x,no,,y,0,ExpErrorJ
Amelia,Between-2trials,KidSecret,SD,1,86,M,subject_drop_091914_01,2057,5,7,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,"Quiet, but was a good participant. Seemed to get a little bored.",,1,,,1x,yes,no shortened speech,y,1,
Amelia,Between-2trials,KidSecret,OD,0,87,M,subject_drop_091914_02,2354,6,5,OD,Eat ,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,Engaged participant. No correct responses.,,1,,,1x,yes,no shortened speech,y,1,
Amelia,Between-2trials,KidSecret,SD,0,88,M,subject_drop_091914_03,2489,6,9,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,Speaks Chinese. ,,0,BILINGUAL,,,,,,0,BILINGUAL
Amelia,Between-2trials,KidSecret,OD,0,89,F,subject_drop_091914_04,2786,7,7,OD,Eat ,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,Watched brother do study. ,,0,INTERFERENCE/SAW SIBLING,,,,,,0,WRONG AGE
Jenny,Between-2trials,KidSecret,SD,2,90,F,subject_drop_092614_01.mpg,2191,6,0,SD,Eat ,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,Hesitant to make a choice on the first trial. Sister watched her do the task.,Ok. Let's see what's going on.,1,,,1x,yes,,,1,
Jenny,Between-2trials,KidSecret,OD,0,91,M,subject_drop_092614_02.mpg,1828,5,0,OD,Eat ,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,Unsure pointing on first trial. Got up and ran around the table to see the secret on the first trial. Brothers sat in with him but didn¥Ë_t help.,That one? Ok.,0,KID INTERFERENCE,,,,,,0,KID INTERFERENCE
Jenny,Between-2trials,KidSecret,SD,0,92,M,subject_drop_092614_03.mpg,2400,6,6,SD,Eat ,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,peaks Urdu at home.,That one? Ok.,0,BILINGUAL,,,,,,0,BILINGUAL
Jenny,Between-2trials,KidSecret,OD,,93,F,subject_drop_092614_04.mpg,1940,5,3,OD,Eat ,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,That one? Ok.,1,,,2x,no,,,0,ExpErrorJ
Amelia,Between-2trials,KidSecret,SD,2,94,F,subject_drop_092614_05,1838,5,0,SD,Eat ,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,dots,left,pet dog,stripes,right,girl pet,dots,pet dog,,,,,,,,,,,,,,,,,,,,,"Great participant, both correct. Sister and both parents present, not distracting. I messed up the counterbalancing by both switching the order of the muppets (dots v. stripes) and the order that they speak, oops. ",,0,ExpError,,,,,,0,ExpError
Amelia,Between-2trials,KidSecret,OD,,95,M,No video,1854,5,0,OD,NA,OD,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,"No video, mother did not want him to be filmed. Hears Russian at home. No correct responses. ",,0,BILINGUAL/NO VIDEO,,,,,,0,BILINGUAL
Amelia,Between-2trials,KidSecret,SD,0,96,M,subject_drop_092614_06,1974,5,4,SD,Eat ,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,dots,left,pet dog,stripes,right,girl pet,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,Engaged and cooperative. Seemed a little confused about the task. Messed up counterbalancing. ,,0,ExpError,,,,,,0,ExpError
Amelia,Between-2trials,KidSecret,OD,0,97,F,subject_drop_100314_01.mpg,2420,6,7,OD ,Eat ,OD ,dots,right,monkey eat,stripes,left,eat orange,N/A,N/A,Pet,OD ,stripes,left,girl pet,dots,right,pet dog,N/A,N/A,,,,,,,,,,,,,,,,,,,,,No responses; very shy. Two sisters present and walking around. Sister answered for her after long delay on second trial. Bilingual English-French.,,0,KID INTERFERENCE/BILINGUAL,,,,,,0,BILINGUAL
Amelia,Between-2trials,KidSecret,SD,2,98,F,subject_drop_100314_02.mpg,2177,5,11,SD,Eat ,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,"Great participant, both correct. Brother present but not distracting. ",That one in the stripes? Ok!,1,,,1x,yes,,,1,
Amelia,Between-2trials,KidSecret,OD,0,99,F,subject_drop_100314_03.mpg,2342,6,4,OD ,Eat ,OD ,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD ,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,"Possibly autistic, father was unclear. Chose quickly and incorrectly on both trials. Vocalized answer rather than pointing. ","Can you point to which muppet? This one? Ok, great. ",0,DEVELOPMENTAL DISORDER,,,,,,0,DEVELOPMENTAL DISORDER
Jenny,Between-2trials,ParentSecret,OD,2,100,M,subject_drop_100514_01.mpg,2271,6,2,OD,Eat ,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,Speaks Turkish at home. Sister watched but didn't help.,That one? Ok.,0,BILINGUAL,,,,,,0,BILINGUAL
Jenny,Between-2trials,ParentSecret,SD,0,101,M,subject_drop_100514_02.mpg,2162,5,11,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left ,girl pet,dots,right,pet dog,stripes ,girl pet,,,,,,,,,,,,,,,,,,,,,Easily distracted. Speaks English and Spanish.,that one? Ok.,0,BILINGUAL,,,,,,0,BILINGUAL
Jenny,Between-2trials,ParentSecret,SD,0,102,M,subject_drop-100514_03.mpg,2314,6,4,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,Speaks Turkish. Didn't seem to understand the task very well.,That one? Ok.,0,BILINGUAL,,,,,,0,BILINGUAL
Amelia,Between-2trials,KidSecret,SD,2,103,F,subject_drop_101014_01.mpg,1825,4,11,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,"Great participant, both correct. Prompt responses. ",This one in the stripes? Alright!,1,,,1x,yes,,,1,
Jenny,Between-2trials,KidSecret,SD,2,104,M,subject_drop_101614_01.mpg,2410,6,7,SD,Eat,SD,dots,right,monkey eat,strpies,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,"Had to repeat the 1st trial. Used the same muppet for both trials, but patterns counterbalanced.",Ok. That one?,1,,,1x,no,,,0,ExpErrorJ
Amelia,Between-2trials,KidSecret,OD,1,105,F,subject_drop_101714_01.mpg,2275,6,2,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,"Very engaged. One correct, took her one trial to get the hang of the task.",This one in the stripes? Ok!,1,,,1x,yes,,,1,
Amelia,Between-2trials,KidSecret,SD,2,106,F,subject_drop_101714_02.mpg,1833,5,0,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,Baby brother present but not distracting.,,1,,,1x,yes,,,1,
Jenny,Between-2trials,ParentSecret,OD,1,107,M,subject_drop_101914_01.mpg,1821,4,11,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,Predicted which muppet will do a better job ahead of the stories and picked the same patterened muppet for both trials.,That one? Ok.,1,,,1x,no,,n,0,ExpErrorJ
Jenny,Between-2trials,KidSecret,SD,0,108,F,subject_drop_101914_02.mpg,2112,5,9,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,sister sat in with subject but didn't offer help,That one? Ok.,1,,,1x,no,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,1,109,M,subject_drop_101914_03.mpg,2079,5,8,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,Had to repeat the 2nd trial. Broth sat in the room but didn't offer help.,This one? Ok.,1,,,1x,no,,y,0,ExpErrorJ
Jenny,Between-2trials,KidSecret,OD,0,110,F,subject_drop_101914_04.mpg,2076,5,8,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Ok.,1,,,1x,no,,,0,ExpErrorJ
Jenny,Between-2trials,KidSecret,SD,1,111,F,subject_drop_101914_05.mpg,2296,6,3,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,Speaks Chinese. Brother sat in the room but didn't help.,that one ? Ok.,0,BILINGUAL,,,,,,0,BILINGUAL
Jenny,Between-2trials,ParentSecret,OD,,112,F,subject_drop_101914_06.mpg,1124,3,0,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,,,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes ,girl pet,,,,,,,,,,,,,,,,,,,,,Had a hard time getting her to focus. Didn't seem to understand the task. Did not make a choise for the 1st trial. ,,0,FUSSOUT,,,,,,0,FUSSOUT
Amelia,Between-2trials,ParentSecret,SD,2,113,F,subject_drop_102414_01.mpg,1136,3,1,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,"Both correct, but took a very long time to respond. Talked a lot but I couldn't make out what she was saying. Other researcher knocked quietly on the door, but she didn't seem distracted. ",,1,,,1x,yes,,,1,
Jenny,Between-2trials,ParentSecret,OD,1,114,M,subject_drop_103014_01.mpg,1403,3,10,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,The stripes? Ok.,1,,,2x,no,,,0,ExpErrorJ
Jenny,Between-2trials,NA,NA,NA,115,NA,NA,2104,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,no video and pink slip.,,0,,,,,,,0,NO CONSENT
Jenny,Between-2trials,KidSecret-New,OD,0,116,F,subject_drop_110214_01.mpg,2446,6,8,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,,1,,,,yes,,yes,1,
Jenny,Between-2trials,KidSecret-New,SD,,117,F,subject_drop_110214_02.mpg,2056,5,7,SD,NA,SD,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,Video got cut off.,,0,ExpError,,,,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,0,118,M,subject_drop_110214_03.mpg,1895,5,2,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,That one? Ok. ,1,,,,yes,,no,0,ExpErrorJ
Jenny,Between-2trials,NA,NA,NA,119,M,no video,2191,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,no video,,0,,,,,,,0,NO VIDEO
Jenny,Between-2trials,NA,NA,NA,120,F,no video,2236,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,no video,,0,,,,,,,0,NO VIDEO
Jenny,Between-2trials,NA,NA,NA,121,F,no video,1814,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,no video,,0,,,,,,,0,NO VIDEO
Jenny,Between-2trials,ParentSecret,SD,2,122,M,subject_drop_111314_01.mpg,1672,4,6,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,," **new""no secret"" langauge introduced from here on.",That one? Ok.,1,,,1x,no,,,0,ExpErrorJ
Amelia,Between-2trials,KidSecret-New,OD,1,123,F,subject_drop_111514_01.mpg,2140,5,10,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,"Engaged subject, one correct. Sister in room, almost told the secret. Not too distracting. ",That one in the dots? Alright!,1,,,,,,,0,NO VIDEO
Amelia,Between-2trials,ParentSecret,SD,2,124,M,subject_drop_112114_01.mpg,1823,4,11,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes ,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,"Perfect subject, both correct. Brother in room, not too distracting.",That one in the stripes? Ok!,1,,,1x,yes,,,1,
Jenny,Between-2trials,ParentSecret,OD,2,125,M,subject_drop_120414_01.mpg,1762,4,9,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,"Brother sat in and watched at the table. Whispered the wrong answer on trial 2, but the subject picked the correct muppet anyways.",That one? Ok.,1,,,1x,no,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,1,126,M,subject_drop_120414_02.mpg,1743,4,9,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,Saw his brother do the task before him.,That one? Ok.,0,KID INTERFERENCE,,,,,,0,KID INTERFERENCE
Amelia,Between-2trials,ParentSecret,OD,2,127,F,subject_drop_120514_01.mpg,1809,4,11,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,"Both correct! Sister in room, fussy at first but she calmed down. ",That one in the dots? Alright!,1,,,,,,,1,
Jenny ,Between-2trials,ParentSecret,SD,2,128,F,subject_drop_120614_01.mpg,1701,4,7,SD,Eat,SD,dots,right,monkey eat,stripes,left ,eat orange,stripes,eat orange,Pet ,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,*conversation about showing muppets happened here?,The one in the stripes? Ok.,1,,,1x,yes,,,1,
Amelia,Between-2trials,ParentSecret,OD,0,129,F,subject_drop_121214_01.mpg,1096,3,0,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,N/A,N/A,Pet,OD,stripes,left,girl pet,dots,right,pet dog,N/A,N/A,,,,,,,,,,,,,,,,,,,,,"No responses. Literally just turned 3. A bit young for the study, and speaks Hungarian at home. ",,0,BILINGUAL,,,,,,0,BILINGUAL
Jenny,Between-2trials,ParentSecret,SD,0,130,M,subject_drop_011515_01.mpg,1388,3,9,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,Ok.,1,,,1x,yes,,,1,
Jenny,Between-2trials,ParentSecret,SD,1,131,F,subject_drop_011515_02.mpg,1680,4,7,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes ,eat orange,Pet ,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,Can you do a big point? Awesome. Ok. (after point),1,,,1x,yes,,,1,
Jenny,Between-2trials,ParentSecret,SD,1,132,M,subject_drop_011615_01.mpg,1270,3,5,SD,Eat ,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,That one? Ok.,1,,,1x,yes,,,1,
Jenny,Between-2trials,KidSecret-New,OD,0,133,F,subject_drop_011615_02.mpg,1829,5,0,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,Showed her the secret before the muppets started talking.,Ok.,0,EXPError,,,,,,0,ExpError
Jenny,Between-2trials,KidSecret-New,SD,2,134,F,subject_drop_011615_03.mpg,2394,6,6,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet ,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Can you touch the muppet? There you go.,1,,,1x,yes,,,1,
Jenny,Between-2trials,ParentSecret,OD,1,135,F,subject_drop_011715_01.mpg,1341,3,8,OD,Eat ,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,Dad didn't put last names or full date of birth on the pink slip.,That one? Ok.,1,,,,,,,1,
Jenny,Between-2trials,KidSecret-New,SD,2,136,M,subject_drop_011715_02.mpg,1948,5,4,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet ,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,Blurted out the answer before touching the muppets.,Can you touch the muppet? Great.,1,,,,,,,1,
